Spin Correlations values from pickles/*.pickle
For inp values for each row see inp_readme.csv

Temp,n_samples,mean_d1,mean_d2,mean_d3,mean_d4,mean_d5,mean_d6,mean_d7,mean_d8,mean_d9,mean_d10,mean_d11,mean_d12,mean_d13,mean_d14,std_d1,std_d2,std_d3,std_d4,std_d5,std_d6,std_d7,std_d8,std_d9,std_d10,std_d11,std_d12,std_d13,std_d14
1.2,500.0,9.282084258302348e-06,3.931952996936161e-07,-1.2940138320118422e-05,-1.7384582690283422e-05,-1.2940138320118422e-05,-4.051249579788418e-06,-8.495693848090014e-06,-8.495693513395963e-06,-1.2940138101839693e-05,-4.051249579788418e-06,-8.495693884469801e-06,-1.2940138101839693e-05,-1.7384582690283422e-05,4.624284932271896e-44,0.00023932919733227683,0.00019540352395341432,0.00010178647854792799,2.728600072165028e-05,0.00010178647854792803,0.00017167961865126189,0.00013221174620925517,0.00014274474795880398,0.0001028593580589627,0.000171679618651262,0.00013483814320614423,0.00010285935805896232,2.728600072165028e-05,0.0
1.21,500.0,-8.027817334550492e-06,2.30832942897905e-05,-8.027817334550492e-06,8.610714057795122e-07,-3.583372898901871e-06,-3.5833730007652775e-06,5.3055158778079205e-06,-8.027817290894746e-06,8.61071842336969e-07,-1.2472261704715492e-05,-1.247226195937401e-05,-1.691670632953901e-05,-3.5833726442433544e-06,4.624284932271896e-44,0.00014034270325611697,0.00032056354717112324,0.0001403427032561171,0.00019677944113370723,0.00016522229469474902,0.00021882909362690753,0.00021381985327106504,0.00013717775223489573,0.00019789206424481156,0.00010061698689647828,0.00010213107503947683,2.8617372517898453e-05,0.00016482192963579245,0.0
1.22,500.0,4.0297478708453126e-06,-4.85914096407214e-06,-9.303585588895658e-06,-4.859140818552987e-06,-4.859141000451928e-06,-4.859141218730656e-06,-1.3748029995440447e-05,-4.859140891312564e-06,-4.859141342421935e-06,-1.3748030184615345e-05,-9.303585625275445e-06,-1.3748030250098965e-05,-4.859141036831716e-06,4.624284932271896e-44,0.00021046307433279332,0.0001682547471732633,0.00013810325155892852,0.00022012984332178716,0.00016981224546067255,0.00016916453052223874,0.0001009467713756457,0.0001624102298632098,0.00015941261463867635,9.349658564677068e-05,0.00014061965409810218,0.00010245598609700755,0.0001713555878004939,0.0
1.23,500.0,-7.822465409844882e-06,-7.822465191566153e-06,-1.2266909780009882e-05,-1.2266909561731153e-05,-1.2266909816389671e-05,-1.6711354222934462e-05,-7.822465191566153e-06,-1.2266910071048187e-05,-1.6711354222934462e-05,1.06642333776108e-06,-1.2266910071048187e-05,-7.822465126082534e-06,-1.2266909780009882e-05,4.624284932271896e-44,0.00016973744409196675,0.00017038298110361213,0.00013870951291161128,0.00014012397925688608,0.00014121511250387528,0.00010420302123324954,0.00017038298110361148,0.00014229787923992286,0.00010420302123324978,0.00021830314633595322,0.0001422978792399231,0.00016567915667113642,0.00013870951291161058,0.0
1.24,500.0,-9.620395552701666e-06,-7.315065140574006e-07,1.2601827062098891e-05,-5.175951109777088e-06,3.7129376378288727e-06,-1.8509284504034442e-05,-7.315070306503913e-07,-9.620395472666133e-06,1.7046270813807495e-05,-9.620395552701666e-06,-1.4064840148421354e-05,-1.4064840395803913e-05,-1.4064840133869438e-05,4.624284932271896e-44,0.00017103003495474577,0.00021707220540925662,0.0002750818200358661,0.00019383059988285417,0.00023742096807545304,9.819542568220017e-05,0.00021928542845725115,0.00016687239270183208,0.00028771489987577454,0.00017103003495474634,0.0001375411218669311,0.00014054265690920556,0.00013881030348645933,0.0
1.25,500.0,1.6395226403801642e-05,-1.0271440697579238e-05,-1.916032943063328e-05,-1.0271440588439873e-05,-1.0271440391989017e-05,-1.027144035560923e-05,-1.4715884994984662e-05,-1.9160329467013072e-05,-5.8269959054086935e-06,-1.382551222377515e-06,-2.3604773793522326e-05,-1.4715885286022967e-05,-1.0271440217366034e-05,4.624284932271896e-44,0.00032917062919577257,0.00019711163801976547,0.00014197433639632915,0.00019043629214024363,0.0001954363848600078,0.0001936336786297732,0.0001674301061064301,0.00014442330567461103,0.0002115761736241205,0.00024094036976334568,0.0001015307865008066,0.0001704147819098693,0.00019866584952050952,0.0
1.26,500.0,1.237321296139271e-05,3.4843234934669454e-06,-1.8737898619292537e-05,-2.762678772342042e-05,-1.8737899172265315e-05,-1.8737898917606797e-05,-5.404565588833065e-06,-1.4293454212747746e-05,-1.873789864112041e-05,-9.849009944446152e-06,-9.849009471508908e-06,-1.4293454452854348e-05,-5.4045653487264646e-06,4.624284932271896e-44,0.0002958661226991211,0.0002759208546367707,0.00016638456882698928,0.0001091236858621502,0.00017081018780689693,0.00016990921642225727,0.00024016518469222064,0.00019304962116839378,0.00017093514359739305,0.00022206674110151144,0.00022186982532395263,0.00019247985485874319,0.00022931921727666722,0.0
1.27,500.0,7.484795167329139e-06,-1.918187163573748e-05,-1.918187145383854e-05,-1.0292982204191504e-05,-1.0292982597093215e-05,1.637368427873298e-05,-1.4737427301952266e-05,-5.848538088685018e-06,-1.4737426829015022e-05,-1.029298245885002e-05,-5.848537644851603e-06,-1.4040929763723398e-06,-1.0292982240571291e-05,4.624284932271896e-44,0.0002728257793970027,0.00014064639656293597,0.00014388310609929214,0.0001982744555740198,0.00019447483171518949,0.00030883480764662066,0.00017353594778760046,0.00022174909944627693,0.00017378765011009147,0.00019948578504912193,0.00021172352501394433,0.00023055357883017022,0.00019959784190926372,0.0
1.28,500.0,2.48508631830191e-06,-6.403802640306821e-06,-1.0848247439753322e-05,-1.529269196998939e-05,-1.973713604911609e-05,-1.0848246792193095e-05,-1.959357797204575e-06,-1.0848246755813306e-05,-1.9593580518630916e-06,-6.403803186003643e-06,-6.403802938621083e-06,-1.9593580664150067e-06,-1.5292691417016613e-05,4.624284932271896e-44,0.0002579234631005027,0.0002179050023321256,0.0001904112092145738,0.00017470271084693358,0.00014098158301763196,0.00019530563162998136,0.0002381988373221175,0.00019395296075276841,0.00023957325617675164,0.00026022992018835954,0.0002206080395865139,0.00023847382384678328,0.00017037823117573668,0.0
1.29,500.0,2.9222779226984132e-05,-1.0777222229080507e-05,-1.8883332631958182e-06,-6.3327770512842105e-06,-1.966611064199242e-05,-3.299944399986998e-05,-2.8554999375046464e-05,-1.0777222076285398e-05,-2.8554999564221363e-05,-1.8883321863540914e-06,7.000556342973141e-06,-6.3327767165901604e-06,2.556111921876436e-06,4.624284932271896e-44,0.00036781227054551597,0.00028138264508441573,0.00030407040728000354,0.0002526771174730584,0.00020069267719394004,0.00010612166400635222,0.00014390826691944325,0.00024132506816506203,0.00013639366003024685,0.00026971702056665547,0.000309074639222828,0.0002586825915923913,0.0002888112986166433,0.0
